iter	Passed	Remaining
412	3150	4477
413	3156	4468
414	3162	4457
415	3168	4447
416	3174	4437
417	3179	4427
418	3186	4418
419	3191	4407
420	3197	4397
421	3203	4388
422	3209	4377
423	3214	4366
424	3221	4357
425	3226	4347
426	3232	4337
427	3238	4327
428	3244	4318
429	3251	4309
430	3257	4301
431	3265	4292
432	3271	4283
433	3277	4274
434	3283	4265
435	3289	4255
436	3295	4246
437	3301	4236
438	3307	4226
439	3313	4216
440	3319	4207
441	3326	4199
442	3332	4190
443	3339	4181
444	3345	4172
445	3351	4163
446	3358	4154
447	3364	4145
448	3370	4136
449	3375	4126
450	3380	4115
451	3389	4108
452	3394	4099
453	3400	4089
454	3406	4079
455	3412	4070
456	3417	4061
457	3423	4051
458	3429	4041
459	3434	4031
460	3440	4022
461	3446	4013
462	3453	4004
463	3459	3996
464	3465	3986
465	3471	3977
466	3476	3968
467	3482	3958
468	3488	3949
469	3494	3940
470	3500	3931
471	3506	3922
472	3513	3914
473	3519	3906
474	3526	3897
475	3533	3889
476	3538	3880
477	3544	3871
478	3550	3861
479	3555	3852
480	3561	3842
481	3566	3833
482	3572	3824
483	3578	3814
484	3583	3805
485	3589	3796
486	3595	3787
487	3601	3778
488	3607	3769
489	3613	3760
490	3618	3751
491	3624	3742
492	3629	3733
493	3636	3724
494	3642	3716
495	3648	3707
496	3655	3699
497	3662	3692
498	3669	3684
499	3675	3675
500	3681	3666
501	3687	3658
502	3693	3649
503	3699	3640
504	3705	3631
505	3711	3623
506	3717	3614
507	3723	3606
508	3729	3597
509	3736	3590
510	3743	3581
511	3749	3573
512	3756	3565
513	3761	3556
514	3766	3547
515	3771	3537
516	3777	3529
517	3784	3521
518	3791	3513
519	3799	3507
520	3807	3500
521	3814	3492
522	3820	3484
523	3827	3476
524	3832	3467
525	3839	3459
526	3845	3451
527	3851	3442
528	3857	3434
529	3863	3426
530	3870	3418
531	3876	3410
532	3882	3402
533	3888	3393
534	3893	3384
535	3899	3375
536	3918	3378
537	3924	3369
538	3929	3361
539	3935	3352
540	3941	3344
541	3948	3336
542	3954	3327
543	3960	3319
544	3965	3310
545	3972	3302
546	3978	3294
547	3983	3285
548	3989	3277
549	3994	3267
550	3999	3259
551	4005	3250
552	4010	3241
553	4015	3232
554	4020	3223
555	4026	3215
556	4031	3206
557	4037	3197
558	4043	3189
559	4049	3181
560	4056	3174
561	4062	3165
562	4068	3157
563	4075	3150
564	4082	3142
565	4088	3134
566	4093	3125
567	4098	3117
568	4104	3108
569	4109	3100
570	4115	3092
571	4121	3084
572	4127	3075
573	4132	3066
574	4136	3057
575	4141	3048
576	4146	3039
577	4151	3030
578	4155	3021
579	4161	3013
580	4167	3005
581	4174	2998
582	4180	2989
583	4185	2981
584	4190	2972
585	4196	2964
586	4202	2956
587	4209	2949
588	4216	2941
589	4222	2934
590	4228	2926
591	4234	2918
592	4240	2910
593	4246	2902
594	4251	2893
595	4257	2885
596	4262	2877
597	4269	2870
598	4275	2862
599	4282	2854
600	4288	2847
601	4295	2839
602	4301	2831
603	4307	2824
604	4313	2816
605	4318	2807
606	4324	2799
607	4329	2791
608	4335	2783
609	4342	2776
610	4348	2768
611	4354	2760
612	4361	2753
613	4366	2745
614	4370	2736
615	4376	2728
616	4381	2719
617	4387	2712
618	4392	2703
619	4397	2695
620	4403	2687
621	4408	2679
622	4413	2670
623	4418	2662
624	4423	2654
625	4428	2646
626	4433	2637
627	4437	2628
628	4443	2620
629	4448	2612
630	4453	2604
631	4458	2595
632	4463	2587
633	4468	2579
634	4472	2571
635	4478	2563
636	4484	2555
637	4490	2547
638	4495	2539
639	4500	2531
640	4505	2523
641	4510	2515
642	4515	2507
643	4519	2498
644	4525	2490
645	4530	2482
646	4535	2474
647	4540	2466
648	4545	2458
649	4550	2450
650	4556	2442
651	4560	2434
652	4565	2426
653	4571	2418
654	4577	2410
655	4582	2403
656	4586	2394
657	4591	2386
658	4596	2378
659	4601	2370
660	4606	2362
661	4611	2354
662	4617	2346
663	4622	2339
664	4627	2331
665	4632	2323
666	4637	2315
667	4642	2307
668	4647	2299
669	4653	2291
670	4658	2284
671	4663	2276
672	4667	2268
673	4673	2260
674	4678	2252
675	4683	2244
676	4687	2236
677	4692	2228
678	4697	2220
679	4702	2212
680	4707	2205
681	4713	2197
682	4717	2189
683	4724	2182
684	4728	2174
685	4733	2166
686	4738	2159
687	4743	2151
688	4748	2143
689	4754	2136
690	4760	2128
691	4766	2121
692	4770	2113
693	4775	2105
694	4780	2098
695	4786	2090
696	4790	2082
697	4795	2075
698	4801	2067
699	4806	2059
700	4811	2052
701	4815	2044
702	4821	2036
703	4826	2029
704	4830	2021
705	4835	2013
706	4841	2006
707	4846	1998
708	4851	1991
709	4856	1983
710	4861	1976
711	4866	1968
712	4871	1960
713	4876	1953
714	4881	1945
715	4886	1938
716	4892	1930
717	4897	1923
718	4902	1916
719	4908	1908
720	4913	1901
721	4917	1893
722	4922	1886
723	4927	1878
724	4932	1870
725	4937	1863
726	4942	1856
727	4948	1849
728	4953	1841
729	4958	1833
730	4964	1826
731	4969	1819
732	4975	1812
733	4980	1805
734	4985	1797
735	4990	1790
736	4996	1783
737	5002	1775
738	5006	1768
739	5011	1760
740	5016	1753
741	5021	1746
742	5027	1739
743	5032	1731
744	5038	1724
745	5043	1717
746	5047	1709
747	5052	1702
748	5059	1695
749	5065	1688
750	5071	1681
751	5076	1674
752	5081	1666
753	5086	1659
754	5091	1652
755	5096	1644
756	5101	1637
757	5106	1630
758	5111	1623
759	5116	1615
760	5120	1608
761	5126	1601
762	5131	1594
763	5136	1586
764	5140	1579
765	5146	1572
766	5151	1565
767	5156	1557
768	5161	1550
769	5167	1543
770	5173	1536
771	5179	1529
772	5184	1522
773	5188	1515
774	5194	1507
775	5199	1500
776	5204	1493
777	5208	1486
778	5213	1479
779	5218	1472
780	5224	1464
781	5228	1457
782	5233	1450
783	5238	1443
784	5242	1435
785	5247	1428
786	5253	1421
787	5258	1414
788	5262	1407
789	5267	1400
790	5272	1393
791	5277	1386
792	5282	1378
793	5288	1372
794	5293	1365
795	5298	1357
796	5304	1350
797	5309	1343
798	5315	1337
799	5320	1330
800	5324	1322
801	5329	1315
802	5336	1309
803	5341	1302
804	5346	1295
805	5350	1287
806	5355	1280
807	5361	1273
808	5365	1266
809	5370	1259
810	5375	1252
811	5381	1245
812	5385	1238
813	5390	1231
814	5395	1224
815	5400	1217
816	5404	1210
817	5409	1203
818	5415	1196
819	5419	1189
820	5424	1182
821	5429	1175
822	5434	1168
823	5440	1162
824	5445	1155
825	5451	1148
826	5474	1145
827	5481	1138
828	5487	1131
829	5492	1125
830	5498	1118
831	5503	1111
832	5508	1104
833	5513	1097
834	5518	1090
835	5523	1083
836	5529	1076
837	5533	1069
838	5538	1062
839	5543	1055
840	5547	1048
841	5552	1041
842	5558	1035
843	5563	1028
844	5567	1021
845	5576	1015
846	5581	1008
847	5586	1001
